id,server,arrival_s,start_s,finish_s,wait_s
job-0000,0,0.0,0.0,2.0,0.0
job-0001,1,3.5714285714285716,3.5714285714285716,5.571428571428571,0.0
job-0002,2,7.142857142857143,7.142857142857143,9.142857142857142,0.0
job-0003,3,10.714285714285715,10.714285714285715,52.714285714285715,0.0
job-0004,0,14.285714285714286,14.285714285714286,16.285714285714285,0.0
job-0005,1,17.857142857142858,17.857142857142858,59.85714285714286,0.0
job-0006,2,21.42857142857143,21.42857142857143,23.42857142857143,0.0
job-0007,0,25.0,25.0,27.0,0.0
job-0008,2,28.571428571428573,28.571428571428573,70.57142857142857,0.0
job-0009,0,32.142857142857146,32.142857142857146,34.142857142857146,0.0
job-0010,0,35.714285714285715,35.714285714285715,77.71428571428572,0.0
job-0011,3,39.285714285714285,52.714285714285715,94.71428571428572,13.42857142857143
job-0012,1,42.85714285714286,59.85714285714286,101.85714285714286,17.0
job-0013,2,46.42857142857143,70.57142857142857,72.57142857142857,24.14285714285714
job-0014,2,50.0,72.57142857142857,74.57142857142857,22.57142857142857
job-0015,2,53.57142857142858,74.57142857142857,76.57142857142857,20.999999999999993
job-0016,2,57.142857142857146,76.57142857142857,118.57142857142857,19.428571428571423
job-0017,0,60.714285714285715,77.71428571428572,79.71428571428572,17.000000000000007
job-0018,0,64.28571428571429,79.71428571428572,81.71428571428572,15.42857142857143
job-0019,0,67.85714285714286,81.71428571428572,83.71428571428572,13.857142857142861
job-0020,0,71.42857142857143,83.71428571428572,125.71428571428572,12.285714285714292
job-0021,3,75.0,94.71428571428572,136.71428571428572,19.714285714285722
job-0022,1,78.57142857142857,101.85714285714286,143.85714285714286,23.285714285714292
job-0023,2,82.14285714285715,118.57142857142857,160.57142857142856,36.428571428571416
job-0024,0,85.71428571428572,125.71428571428572,127.71428571428572,40.0
job-0025,0,89.28571428571429,127.71428571428572,129.71428571428572,38.42857142857143
job-0026,0,92.85714285714286,129.71428571428572,131.71428571428572,36.85714285714286
job-0027,0,96.42857142857143,131.71428571428572,173.71428571428572,35.28571428571429
job-0028,3,100.0,136.71428571428572,138.71428571428572,36.71428571428572
job-0029,3,103.57142857142858,138.71428571428572,180.71428571428572,35.14285714285714
job-0030,1,107.14285714285715,143.85714285714286,145.85714285714286,36.71428571428571
job-0031,1,110.71428571428572,145.85714285714286,187.85714285714286,35.14285714285714
