id,server,arrival_s,start_s,finish_s,wait_s
job-0603,0,12099.774606493567,12099.774606493567,12112.135020202842,0.0
job-0604,0,12122.312106288242,12122.312106288242,12134.51250069041,0.0
job-0605,0,12146.230204499989,12146.230204499989,12157.454127462166,0.0
job-0606,0,12162.654977883543,12162.654977883543,12175.581594856209,0.0
job-0607,0,12184.14250667075,12184.14250667075,12196.984615390877,0.0
job-0608,0,12202.439382562692,12202.439382562692,12211.657945723724,0.0
job-0609,0,12222.934304310425,12222.934304310425,12232.180267956566,0.0
job-0610,0,12243.367307155904,12243.367307155904,12255.132825160486,0.0
job-0611,0,12263.44193718595,12263.44193718595,12272.455573210544,0.0
job-0612,0,12281.874251215408,12281.874251215408,12292.581179873825,0.0
job-0613,0,12300.335573232018,12300.335573232018,12311.772447573781,0.0
job-0614,0,12318.161532490294,12318.161532490294,12328.046066060515,0.0
job-0615,0,12337.640583886878,12337.640583886878,12350.333934282595,0.0
job-0616,0,12354.960116856024,12354.960116856024,12365.952506771255,0.0
job-0617,0,12377.09964562343,12377.09964562343,12386.404516610166,0.0
job-0618,0,12399.188555111796,12399.188555111796,12408.218138641338,0.0
job-0619,0,12421.2385434388,12421.2385434388,12433.438293055997,0.0
job-0620,0,12440.4947860568,12440.4947860568,12453.263031616178,0.0
job-0621,0,12463.095286755652,12463.095286755652,12474.454288630735,0.0
job-0622,0,12486.446418388414,12486.446418388414,12498.234395987753,0.0
job-0623,0,12505.538832611697,12505.538832611697,12515.977586034332,0.0
job-0624,0,12526.170249436125,12526.170249436125,12535.823755900468,0.0
job-0625,0,12548.285791510642,12548.285791510642,12559.127277739488,0.0
job-0626,0,12567.061081981463,12567.061081981463,12576.970043507179,0.0
job-0627,0,12586.29867134648,12586.29867134648,12597.442031315451,0.0
job-0628,0,12606.557479586976,12606.557479586976,12616.678175589395,0.0
job-0629,0,12626.285883298784,12626.285883298784,12637.035193675307,0.0
job-0630,0,12644.483514005851,12644.483514005851,12653.755839747777,0.0
job-0631,0,12662.085925616891,12662.085925616891,12672.221188558473,0.0
