id,server,arrival_s,start_s,finish_s,wait_s
job-0000,0,0.0,0.0,11.014487070371311,0.0
job-0001,1,2.210452074749446,2.210452074749446,13.118656328973326,0.0
job-0002,2,4.4346382006668215,4.4346382006668215,15.85359678685984,0.0
job-0003,3,6.715704612169642,6.715704612169642,16.74435916529464,0.0
job-0004,0,9.892205045006671,11.014487070371311,20.28545190124024,1.1222820253646404
job-0005,1,12.904582854038022,13.118656328973326,25.85579940580675,0.21407347493530438
job-0006,2,15.049415544851316,15.85359678685984,25.542271266927845,0.804181242008525
job-0007,3,17.80359282605369,17.80359282605369,30.2883689942923,0.0
job-0008,0,20.074444050057778,20.28545190124024,33.296011301028216,0.2110078511824618
job-0009,2,23.199376607402662,25.542271266927845,38.22488210589138,2.3428946595251823
job-0010,1,26.348404787407766,26.348404787407766,36.92210797356118,0.0
job-0011,3,28.62301047296766,30.2883689942923,39.57087156126232,1.665358521324638
job-0012,0,31.300081704648075,33.296011301028216,43.00064573310141,1.9959295963801402
job-0013,1,34.342475752057545,36.92210797356118,48.81657342297855,2.579632221503637
job-0014,2,36.66268688672885,38.22488210589138,48.10094096911304,1.5621952191625326
job-0015,3,39.52051695999581,39.57087156126232,52.11643806735531,0.05035460126651259
job-0016,0,42.213497253386066,43.00064573310141,52.76937835731306,0.7871484797153414
job-0017,2,45.13756848532882,48.10094096911304,57.990769888967385,2.9633724837842195
job-0018,1,47.49667614528416,48.81657342297855,60.992137856215216,1.3198972776943876
job-0019,3,50.54805999410329,52.11643806735531,64.30595600896504,1.5683780732520205
job-0020,0,52.84929585185422,52.84929585185422,62.58547114455247,0.0
job-0021,2,55.61571160665793,57.990769888967385,68.22737563261815,2.3750582823094533
job-0022,1,58.69723602930287,60.992137856215216,72.76206086570801,2.2949018269123442
job-0023,0,61.57402139100401,62.58547114455247,72.52394298090718,1.0114497535484617
job-0024,3,64.37258083152099,64.37258083152099,77.31563714708571,0.0
job-0025,2,66.79881598226112,68.22737563261815,77.7243134278749,1.4285596503570304
job-0026,0,69.47486358688317,72.52394298090718,84.10152515687415,3.0490793940240053
job-0027,1,72.18330115981973,72.76206086570801,82.5211254949997,0.5787597058882739
job-0028,3,74.77496401204428,77.31563714708571,87.402079526113,2.5406731350414304
job-0029,2,77.7532383336981,77.7532383336981,89.7194543066566,0.0
job-0030,1,80.15372420561918,82.5211254949997,92.35664421819362,2.36740128938051
job-0031,0,82.9388825536771,84.10152515687415,97.06739272578315,1.1626426031970425
job-0032,3,85.56374023357905,87.402079526113,99.31570359132483,1.838339292533945
job-0033,2,87.79221773365785,89.7194543066566,99.92237915610946,1.9272365729987513
job-0034,1,90.46937397015502,92.35664421819362,102.13361184438907,1.8872702480386039
job-0035,0,93.36964149104632,97.06739272578315,107.28351985858289,3.6977512347368275
job-0036,3,95.51181041081955,99.31570359132483,109.03095398750817,3.803893180505284
job-0037,2,97.89547055082349,99.92237915610946,112.20487042475744,2.0269086052859677
job-0038,1,100.30516869492006,102.13361184438907,113.15394574430073,1.8284431494690097
job-0039,0,102.63204383975506,107.28351985858289,118.22840939606169,4.651476018827836
job-0040,3,104.81908784770135,109.03095398750817,118.08368839648905,4.211866139806816
job-0041,2,107.91381999534097,112.20487042475744,123.16804921302207,4.291050429416472
job-0042,1,110.57727903382522,113.15394574430073,125.05751121490192,2.576666710475507
job-0043,3,113.07527129807893,118.08368839648905,128.57115303626034,5.008417098410121
job-0044,0,115.20844714733057,118.22840939606169,128.2425570844616,3.019962248731119
job-0045,2,117.59218146416252,123.16804921302207,134.42586719165232,5.575867748859551
job-0046,1,120.68068793816713,125.05751121490192,137.9426250262587,4.376823276734797
job-0047,0,123.36332284080048,128.2425570844616,139.1950848343239,4.8792342436611165
job-0048,3,126.04790125351563,128.57115303626034,139.4301098517499,2.5232517827447083
job-0049,2,128.56686208787937,134.42586719165232,146.18275893631352,5.859005103772944
job-0050,1,131.07449830176262,137.9426250262587,147.8364750794176,6.868126724496079
job-0051,0,133.23881559600184,139.1950848343239,152.15086541446186,5.956269238322051
job-0052,3,135.4786663571636,139.4301098517499,149.21463522701737,3.9514434945863
job-0053,2,138.50226100640887,146.18275893631352,156.75324088386273,7.6804979299046465
job-0054,1,141.22862912519312,147.8364750794176,157.16172122844537,6.607845954224473
job-0055,3,144.04932244637695,149.21463522701737,160.86214890724236,5.16531278064042
job-0056,0,146.59611936366426,152.15086541446186,163.98057117477845,5.554746050797604
job-0057,2,148.95050530951073,156.75324088386273,166.11914209758964,7.802735574351999
job-0058,1,151.59126246948318,157.16172122844537,166.8715136432211,5.5704587589621894
job-0059,3,154.22138447385532,160.86214890724236,171.5051769242785,6.640764433387034
job-0060,0,157.21140488551836,163.98057117477845,176.89761122963034,6.769166289260085
job-0061,2,160.240818312484,166.11914209758964,178.83706736584358,5.878323785105636
job-0062,1,163.1008771326147,166.8715136432211,178.9548009792194,3.7706365106064084
job-0063,3,165.5732539636855,171.5051769242785,183.48150432095798,5.931922960592999
job-0064,0,168.29563691958845,176.89761122963034,189.7453026179018,8.601974310041896
job-0065,2,170.90259926882476,178.83706736584358,190.2072397281919,7.934468097018822
job-0066,1,173.25378345507875,178.9548009792194,191.4715701746455,5.701017524140667
job-0067,3,175.5488269210353,183.48150432095798,195.82789989284316,7.932677399922682
job-0068,0,178.24323999289192,189.7453026179018,199.44483118665173,11.502062625009899
job-0069,2,180.88356804134924,190.2072397281919,203.17106651231327,9.323671686842658
job-0070,1,183.91175861675646,191.4715701746455,202.03350546171512,7.559811557889049
job-0071,3,186.30608638026652,195.82789989284316,207.29317255119452,9.521813512576642
