time_s,V_A,P_A,f_o,f_c,p_o,p_c,z
0,1,760,0.1368,0.05263,40,46,4.4219e-07
0.005,1.0160918291307868,759.966922904955,0.1367998174345892,0.05262856872973703,40.67272975321977,43.391913503864,7.060570870929584e-05
0.01,1.031993967185918,759.9342719874846,0.13680715561815962,0.05262146223576039,41.363986864512285,41.072343802536224,0.0001367187320009496
0.015,1.0477088788772202,759.9020421635756,0.1368216795074446,0.05260896723936899,42.07482716908274,39.00858134001204,0.00019923053746921047
0.02,1.0632389783149014,759.870228431065,0.136843083662103,0.05259134006355489,42.8063987642238,37.173402356387854,0.00025851474380572475
0.025,1.078586664550328,759.838825812818,0.13687107090752473,0.05256882871941928,43.55987840432032,35.54104469023228,0.00031492481574125054
0.03,1.0937543089631803,759.8078293770595,0.13690535923442845,0.05254166579565625,44.33649442161243,34.088594648150135,0.0003687749364454627
0.035,1.108744235523394,759.7772342741924,0.13694568961112868,0.0525100616300659,45.13756923593722,32.79688025126094,0.00042032771782617466
0.04,1.1235587545773063,759.7470356786848,0.13699180918267634,0.052474220692184825,45.96445196539241,31.647690950854145,0.00046983252414387186
0.045,1.1382001476327543,759.7172288154991,0.13704347817183715,0.05243433490458065,46.818548288965374,30.624966328622993,0.0005175090890298686
0.05,1.1526706525392372,759.6878089889732,0.13710047456467198,0.052390579866593956,47.70134239670221,29.715158724502015,0.000563542542411327
0.055,1.1669724900790548,759.658771535091,0.13716258270869033,0.05234312547787809,48.61434043298384,28.90554823158335,0.0006081066211562861
0.06,1.1811078679111615,759.6301118127451,0.13722959271880347,0.05229213611296305,49.55908960930665,28.18441301272803,0.0006513613082845544
0.065,1.1950789292577146,759.6018253024146,0.13730131663529846,0.05223775700978572,50.537175884459536,27.542629252580145,0.0006934308532858009
0.07,1.2088878114227917,759.5739074959167,0.1373775683387302,0.052180131838793886,51.550176583434684,26.971267669369496,0.0007344368323265013
0.075,1.2225366360230863,759.5463539145615,0.13745816698258712,0.05211939964445915,52.59968997319066,26.46206213126778,0.0007744916989353944
0.08,1.236027487007181,759.5191601515356,0.13754294327117925,0.052055689556635476,53.68727890479249,26.008069966703943,0.0008136897144028792
0.085,1.2493624050028647,759.4923218841687,0.13763173999142547,0.051989120683205416,54.81434317046337,25.603480816929657,0.0008521095984317203
0.09,1.2625434182686293,759.465834814132,0.13772440284485182,0.0519198097813878,55.98210876799684,25.242705069693958,0.0008898270483621213
0.095,1.2755725586707183,759.4396946352053,0.13782077777205015,0.05184787322010546,57.19215731992688,24.92034757607274,0.0009269150711097455
0.1,1.288451798589168,759.4138971579381,0.13792072502648603,0.0517734157419662,58.44538247671315,24.632208931091952,0.0009634302884037137
0.105,1.301183070615509,759.3884382713359,0.13802411399528275,0.0516965347590777,59.742067556030506,24.374758456401857,0.0009994201707475311
0.11,1.313768307341272,759.3633138644041,0.13813081406556357,0.051617327683547605,61.08249587555379,24.144465473652712,0.0010349321886447033
0.115,1.326209417853443,759.33851987249,0.13824069931145036,0.05153588816674434,62.46625645255443,23.938106737399984,0.001070009614550277
0.12,1.3385083114136298,759.3140522307068,0.13835364515988302,0.05145230877807272,63.89374426019288,23.752711655704665,0.0011046922370957822
0.125,1.3506668202025676,759.289907026372,0.13846954123919053,0.05136667073841553,65.36248266286285,23.586127187040482,0.001139008707432253
0.13,1.3626867660592514,759.2660803672056,0.13858827906272603,0.05127905375980243,66.86959392203939,23.4363050072297,0.0011729862509135191
0.135,1.374569968863556,759.2425683647566,0.13870975044125453,0.051189537309140894,68.41210252464114,23.30121119141598,0.0012066518976959208
0.14,1.3863182266714975,759.2193671736987,0.13883385107521448,0.051098197745824796,69.9861335580467,23.179046740646427,0.0012400294769512816
0.145,1.3979332993211533,759.1964730238861,0.13896048293027952,0.05100510636387329,71.58603333162857,23.06835409324147,0.00127313817635857
0.15,1.409416920576988,759.1738821960225,0.13908955174260507,0.05091033132544162,73.20477556366298,22.96784332208852,0.0013059949165163554
0.155,1.4207708146733473,759.151590989343,0.13922096454260913,0.05081393970490027,74.83492904470043,22.876281649255983,0.0013386158459905287
