time_s,V_A,P_A,f_o,f_c,p_o,p_c,z
0,1,760,0.1368,0.05263,40,46,4.4219e-07
0.005,1.0160918290582142,759.966922905067,0.13679981748127845,0.052628568680243154,40.672729879807235,43.391922809686406,7.060558032801731e-05
0.01,1.0319939693695166,759.9342719838435,0.1368071543643854,0.05262146349098434,41.36398269794345,41.07213534316708,0.0001367216063591713
0.015,1.0477088772144976,759.9020421662647,0.13682168041406526,0.052608966305515495,42.074830210256415,39.00876209973442,0.00019922804453134597
0.02,1.0632389779552125,759.8702284316678,0.13684308385998498,0.05259133986608546,42.80639948009732,37.17343602162411,0.0002585142797283533
0.025,1.07858666641456,759.8388258095273,0.13687107001323884,0.052568829568008166,43.55987457436673,35.5409128470944,0.0003149266325366805
0.03,1.0937543072517224,759.8078293800346,0.13690536001448345,0.05254166504048188,44.33649771200718,34.088727836358224,0.0003687731009444979
0.035,1.1087442353329693,759.7772342745423,0.13694568969879053,0.05251006155037509,45.13756966695578,32.796890220631774,0.00042032758073511057
0.04,1.1235587560978713,759.74703567589,0.13699180856417553,0.052474221251571807,45.96444917733558,31.647611225337855,0.00046983362190966625
0.045,1.1382001459209812,759.7172288186233,0.13704347883241932,0.052434334299287,46.8185510522089,30.625061978508153,0.000517507772118942
0.05,1.1526706524690393,759.6878089891188,0.13710047459220767,0.0523905798460798,47.701342595301156,29.715158021021082,0.0005635425524803349
0.055,1.1669724950537577,759.6587715256276,0.13716258101581344,0.05234312693401471,48.61433788073988,28.90536749573417,0.0006081091061762549
0.06,1.1811078649802393,759.6301118182421,0.13722959364157802,0.052292135295477236,49.55908931857848,28.18454041374093,0.0006513595557922367
0.065,1.195078925891088,759.6018253088004,0.13730131771533238,0.05223775607348979,50.537175838175436,27.54275668210223,0.0006934291013993364
0.07,1.20888781410626,759.5739074907301,0.13737756758465364,0.05218013247095396,51.55018689764948,26.971190831710214,0.0007344378878710335
0.075,1.2225366389587098,759.5463539088399,0.13745816614050405,0.05211940033702698,52.59970140240161,26.461991610380707,0.0007744926667955373
0.08,1.2360274831258868,759.5191601590647,0.13754294430135527,0.05205568869779213,53.687260493237524,26.0081748082914,0.0008136882755523866
0.085,1.2493624029571326,759.492321888166,0.13763174053537727,0.051989120237484386,54.81433305961951,25.60352786159578,0.0008521089536522726
0.09,1.262543428797025,759.4658347933932,0.1377244004166809,0.05191981173575355,55.982272766015186,25.24252494031584,0.0008898295142238395
0.095,1.2755725653047274,759.4396946221087,0.1378207762119627,0.05184787446577405,57.1922653791808,24.920251369045847,0.0009269163865626176
0.1,1.2884517917693887,759.4138971713754,0.1379207264942054,0.05177341455743397,58.44526529526429,24.632336354368324,0.0009634285439243901
0.105,1.3011830624216436,759.3884382875123,0.13802411578037727,0.05169653332932389,59.74192043538891,24.37489310711504,0.000999418329166375
0.11,1.31376830674126,759.3633138656161,0.13813081419033366,0.051617327592812436,61.082485178171666,24.144465546372825,0.0010349321894743831
0.115,1.3262094297609872,759.3385198490508,0.13824069712439613,0.05153588993110421,62.46672178968503,23.93798086276584,0.0010700113301613569
0.12,1.3385083123666452,759.3140522289051,0.13835364495736494,0.051452308955843254,63.89379197202195,23.752707296619164,0.0011046922964434846
0.125,1.350666811593509,759.2899070434181,0.13846954274704618,0.05136666954352087,65.36214171704846,23.586216558354106,0.0011390074911083556
0.13,1.3626867609190243,759.266080377376,0.13858827995575448,0.051279053053679094,66.86938462871142,23.4363503812559,0.001172985635121655
0.135,1.374569970551913,759.2425683614803,0.13870975018369844,0.05118953753066335,68.41219117801734,23.301190752050005,0.001206652177454517
0.14,1.386318227717702,759.2193671716922,0.13883385091369035,0.05109819789045215,69.98619378120772,23.179033416137955,0.0012400296597029267
0.145,1.3979332969407277,759.1964730285594,0.1389604832672122,0.051005106093902935,71.58591976596867,23.06836429616906,0.001273138040492317
0.15,1.4094169203226559,759.1738821965322,0.13908955177252383,0.05091033130755915,73.20476573986713,22.96783850503065,0.0013059949840743008
0.155,1.4207708178175618,759.1515909832805,0.13922096414612994,0.050813940053007475,74.83502694792917,22.87626166776961,0.0013386161170602631
0.16,1.431996687503611,759.1295957390232,0.13935463108947926,0.05071599634562997,76.46799329162239,22.792573298653757,0.0013710152567983098
0.165,1.4430962058513919,759.1078928558857,0.13949046610314106,0.05061656182347768,78.09411935001467,22.71583200753648,0.001403204614513548
0.17,1.4540710279889264,759.0864787672988,0.13962838532079896,0.05051569586690252,79.70326895400213,22.645202334411238,0.0014351949759898136
0.17500000000000002,1.4649227879634161,759.0653499474553,0.13976830736513507,0.05041345570952565,81.2850261884938,22.57994303320213,0.0014669958622645482
0.18,1.4756530989997545,759.0445029108325,0.13991015322701036,0.05030989654109393,82.8290553373007,22.51939664541894,0.0014986156725377913
0.185,1.4862635537558488,759.02393421179,0.1400538461683205,0.05020507160277797,84.32548397855011,22.46298022177329,0.001530061811254741
0.19,1.4967557245747918,759.0036404442413,0.14019931164763122,0.050099032275483936,85.76527798393766,22.41017706570603,0.0015613408011022388
0.195,1.5071311637339206,758.9836182413984,0.1403464772663417,0.04999182816178246,87.14057604739008,22.36052938649718,0.0015924583834699432
0.2,1.5173914036908034,758.9638642755706,0.1404952727318885,0.049883507162087976,88.44495515785538,22.31363176130849,0.0016234196077656157
0.20500000000000002,1.5275379573261936,758.9443752580097,0.14064562983364617,0.049774115545720955,89.6736064317626,22.269125317926004,0.0016542289108025406
0.21,1.5375723181839998,758.9251479387785,0.14079748242672693,0.04966369801748337,90.82341158025257,22.22669255826974,0.0016848901873624522
0.215,1.5474959607082182,758.9061791066225,0.14095076641898044,0.04955229778030273,91.8929217670487,22.186052754017183,0.0017154068528821226
0.22,1.5573103404770985,758.887465588829,0.1411054197570148,0.049439956594525936,92.88225057948986,22.14695784716508,0.0017457818991901378
0.225,1.5670168944342802,758.8690042510596,0.14126138240796254,0.04932671483422063,93.79290009818709,22.109188805390012,0.0017760179439872963
0.23,1.5766170411171347,758.8507919971433,0.14141859633473855,0.04921261154088993,94.62754244719486,22.072552378547257,0.0018061172748107621
0.23500000000000001,1.5861121808822922,758.8328257688269,0.1415770054636117,0.049097684474851855,95.38977936779435,22.03687821336887,0.0018360818880750992
0.24,1.5955036961283886,758.8151025454775,0.14173655564386548,0.04898197016448044,96.08389976518983,22.00201628670223,0.0018659135237377154
0.245,1.60479295151606,758.7976193437462,0.14189719460004935,0.04886550395343944,96.71465097716151,21.96783462294742,0.0018956136960628605
0.25,1.6139812941852334,758.7803732171875,0.14205887187789698,0.04874832004600857,97.28703462603148,21.934217263362676,0.001925183720930328
0.255,1.6230700539697405,758.7633612558487,0.14222153878523436,0.04863045155056031,97.80613329623989,21.901062460283754,0.001954624740060865
0.26,1.6320605436092825,758.7465805858329,0.14238514832933902,0.048511930521235334,98.27697034870333,21.86828107133104,0.001983937742502122
0.265,1.6409540589587917,758.7300283688415,0.14254965515216966,0.04839278799785742,98.70440215759064,21.835795131518168,0.0020131235836797173
0.27,1.6497518791952102,758.7137018017039,0.14271501546475077,0.04827305404412795,99.0930400553317,21.803536583686494,0.002042183002283231
0.275,1.6584552670217239,758.6975981159003,0.1428811869818071,0.04815275778414202,99.4471981284054,21.77144614989314,0.0020711166352265263
0.28,1.6670654688694857,758.6817145770812,0.14304812885753213,0.048031927437276536,99.77086250000382,21.739472328119465,0.0020999250308976745
0.28500000000000003,1.675583715096951,758.6660484845878,0.14321580162313705,0.04791059035151858,100.06767778218132,21.70757050019189,0.002128608660892444
0.29,1.6840112201862938,758.6505971709785,0.14338416712683735,0.04778877303520248,100.34094667523162,21.6757021407259,0.002157167930373054
0.295,1.6923491829382384,758.6353580015581,0.14355318847619994,0.04766650118742744,100.59363922962824,21.64383411107134,0.00218560318726909
0.3,1.7005987866638461,758.6203283739177,0.1437228299834881,0.04754379972698127,100.82840880499138,21.611938034542387,0.0022139147303755625
0.305,1.7087611993740837,758.6055057174826,0.1438930571138361,0.047420692819965304,101.04761234409524,21.57998974076317,0.00224210281651322
0.31,1.7168375739671384,758.5908874930697,0.1440638364362684,0.0472972039061748,101.2533331119655,21.547968771927653,0.0022701676668501745
0.315,1.724829048413399,758.5764711924538,0.14423513557752676,0.04717335572428471,101.44740448064196,21.51585794438084,0.0022981094724755595
0.32,1.7327367459381589,758.5622543379449,0.1444069231786038,0.04704917033590242,101.63143373374766,21.483642959582635,0.0023259283993066634
0.325,1.740561775202076,758.5482344819739,0.1445791688538279,0.046924669148557675,101.80682515879757,21.451312058570583,0.002353624592410101
0.33,1.7483052304794164,758.5344092066872,0.1447518431523645,0.0467998729376822,101.97480195648181,21.41885571538811,0.00238119817979916
0.335,1.7559681918341,758.5207761235522,0.14492491752198128,0.04667480186763319,102.13642666044171,21.386266365156857,0.002408649275766501
0.34,1.7635517252935948,758.5073328729683,0.1450983642749052,0.04654947551181984,102.29261992706975,21.353538162734754,0.002435977983807656
0.34500000000000003,1.7710568830206708,758.4940771238886,0.14527215655563705,0.046423912871975025,102.44417762690627,21.32066676881099,0.002463184399178425
0.35000000000000003,1.77848470348304,758.4810065734476,0.14544626831056878,0.046298132396622234,102.59178626067207,21.287649160259434,0.002490268611129546
0.355,1.7858362116209234,758.4681189465969,0.14562067425926944,0.046172151998780116,102.73603676188732,21.254483462094814,0.002517230704854897
0.36,1.7931124190125522,758.4554119957468,0.14579534986731213,0.04604598907294547,102.87743678063771,21.221168798619964,0.002544070763186082
0.365,1.8003143240376442,758.442883500416,0.14597027132052293,0.04591966051139301,103.01642156074264,21.187705161625505,0.0025707888680625425
0.37,1.807442912038871,758.4305312668859,0.1461454155005452,0.04579318271982699,103.15336352909699,21.154093293751686,0.0025973851018029023
0.375,1.8144991554813454,758.4183531278613,0.14632075996161847,0.045666571632418544,103.28858071952594,21.120334585310836,0.002623859548200666
0.38,1.8214840141101538,758.4063469421377,0.14649628290848307,0.045539842726259584,103.42234414893372,21.08643098307348,0.0026502122934645746
0.385,1.8283984351059548,758.3945105942714,0.14667196317532774,0.04541301103526245,103.55488425830795,21.05238490968164,0.0026764434270217445
0.39,1.8352433532386738,758.3828419942575,0.14684778020570521,0.04528609116353312,103.68639652458663,21.018199192488765,0.002702553042199815
0.395,1.8420196910193083,758.3713390772114,0.1470237140333507,0.04515909729824214,103.81704633760013,20.983877000796866,0.002728541236802032
0.4,1.8487283588498797,758.3599998030542,0.14719974526383706,0.04503204322202004,103.94697323417229,20.949421790502278,0.002754408113588566
0.405,1.855370255171542,758.3488221562047,0.14737585505701736,0.04490494232489607,104.0762945632739,20.914837255375314,0.002780153780674537
0.41000000000000003,1.8619462666108813,758.3378041452744,0.14755202511019766,0.04477780761580544,104.20510865870429,20.88012728416631,0.002805778351855531
0.41500000000000004,1.8684572681244191,758.3269438027662,0.14772823764199947,0.0446506517336816,104.33349757766638,20.84529592293178,0.0028312819468687992
0.42,1.87490412314135,758.3162391847791,0.1479044753768666,0.04452348695815451,104.46152946426153,20.810347341956515,0.002856664691598425
0.425,1.881287683704532,758.305688370715,0.1480807215301784,0.044396325219872364,104.58926058629608,20.77528580675857,0.0028819267182313276
0.43,1.887608790609748,758.2952894629906,0.14825695979393724,0.04426917811046157,104.71673708717462,20.74011565273212,0.0029070681653700268
0.435,1.893868273543268,758.2850405867528,0.1484331743229945,0.044142056892143455,104.84399649345545,20.704841262982676,0.002932089178108041
0.44,1.9000669512177286,758.2749398895971,0.14860934972178658,0.044014972507021695,104.97106900972076,20.669467049005096,0.00295698990807255
0.445,1.9062056315063438,758.264985541291,0.14878547103155734,0.043887935586052224,105.09797862861214,20.633997433893985,0.00298177051343843
0.45,1.9122851115754846,758.2551757334998,0.14896152371803636,0.04376095645771316,105.22474408391925,20.598436837759834,0.003006431158917892
0.455,1.9183061780156356,758.245508679516,0.14913749365955326,0.043634045156384506,105.35137966623057,20.56278966512431,0.0030309720157287072
0.46,1.9242696069707426,758.2359826139932,0.14931336713556884,0.04350721143044876,105.47789592047148,20.52706029406287,0.003055393261544053
0.465,1.9301761642659927,758.2265957926819,0.14948913081559687,0.043380464750127745,105.60430024314992,20.49125306687084,0.0030796950804268053
0.47000000000000003,1.936026605534031,758.2173464921696,0.1496647717485029,0.04325381431506342,105.73059739208556,20.455372282092558,0.0031038776627503786
0.47500000000000003,1.941821676339626,758.208233009624,0.14984027735216446,0.043127269061651624,105.85678992071182,20.419422187758222,0.00312794120510812
0.48,1.9475621123028233,758.1992536625387,0.15001563540347074,0.04300083767014246,105.98287854899021,20.38340697566421,0.0031518859102132746
0.485,1.953248639220601,758.1904067884832,0.15019083402864927,0.042874528571515275,106.1088624792032,20.34733077658271,0.0031757119867909744
0.49,1.958881973187025,758.181690744855,0.1503658616939097,0.04274834995413353,106.23473966380787,20.31119765630188,0.0031994196494635374
0.495,1.9644628207119483,758.1731039086357,0.15054070719638551,0.04262230977019254,106.36050703344445,20.27501161237601,0.0032230091186304945
0.5,1.969991878838264,758.1646446761489,0.15071535965536276,0.042496415741966796,106.48616069037838,20.23877657150601,0.003246480620344342
0.505,1.9754698352577447,758.1563114628224,0.15088980850378247,0.04237067536786556,106.61169607243608,20.202496387471047,0.0032698343861829377
0.51,1.9808973684254192,758.1481027029525,0.15106404348001723,0.04224509592829619,106.73710809075143,20.166174839562203,0.0032930706531192826
0.515,1.986275147672603,758.1400168494716,0.15123805461989298,0.04211968449135467,106.8623912470357,20.129815631419408,0.003316189663389634
0.52,1.9916038333185528,758.1320523737179,0.15141183224895524,0.041994447918343836,106.98753973222719,20.09342239024057,0.003339191664360392
0.525,1.9968840767807567,758.1242077652095,0.15158536697497163,0.04186939286912483,107.11254750923187,20.05699866631594,0.003362076908394329
0.53,2.002116520683821,758.1164815314195,0.15175864968067024,0.04174452580730143,107.23740838177223,20.020547932853155,0.0033848456527166516
0.535,2.0073017989671245,758.1088721975551,0.15193167151667977,0.041619853005261505,107.36211605296977,19.98407358602134,0.003407498159281363
0.54,2.0124405369911185,758.1013783063391,0.15210442389468665,0.041495380549064556,107.48666417368781,19.947578945214953,0.0034300346946381905
0.545,2.0175333516423364,758.0939984177936,0.15227689848079362,0.041371114343186015,107.61104638265523,19.91106725349701,0.0034524555298004194
0.55,2.0225808514371435,758.0867311090268,0.15244908718907016,0.04124706011512537,107.73525633973307,19.874541678193683,0.0034747609401138543
0.555,2.027583636624173,758.079574974023,0.1526209821752979,0.04112322341987532,107.85928775305705,19.838005311624848,0.0034969512051272324
0.56,2.032542299285547,758.072528623434,0.1527925758308921,0.04099960964426567,107.9831344014738,19.8014611719388,0.0035190266084641993
0.5650000000000001,2.037457423436936,758.0655906843735,0.1529638607769875,0.04087622401118999,108.1067901528995,19.764912204036616,0.003540987437696893
0.5700000000000001,2.0423295851263337,758.0587598002151,0.15313482985870314,0.040753071583704864,108.23024897878766,19.72836128058113,0.003562833984221453
0.5750000000000001,2.0471593525316245,758.0520346303902,0.15330547613957002,0.040630157269012694,108.35350496560417,19.691811203069957,0.0035845665431355014
0.58,2.051947286056957,758.045413850192,0.1534757928961175,0.04050748582233156,108.47655232382844,19.6552647029592,0.003606185413117701
0.585,2.0566939384279954,758.0388961505787,0.1536457736126037,0.04038506185066202,108.59938539500921,19.618724442824526,0.0036276908963093616
0.59,2.0613998547860137,758.0324802379806,0.15381541197589277,0.04026288981644897,108.72199865696115,19.5821930175563,0.003649083298198184
0.595,2.0660655727808566,758.02616483411,0.15398470187047325,0.040140974041143036,108.84438672744828,19.545672955579843,0.0036703629275041884
0.6,2.07069162266272,758.0199486757716,0.15415363737361992,0.0400193187086592,108.96654436655848,19.509166720094242,0.0036915300960679684
0.605,2.0752785273728382,758.013830514678,0.15432221275068503,0.039897927868742945,109.08846647812064,19.472676710320844,0.0037125851187411654
0.61,2.0798268026330957,758.0078091172646,0.15449042245051445,0.03977680544024722,109.21014811031178,19.436205262756776,0.0037335283132791455
0.615,2.0843369570344294,758.0018832645094,0.15465826110100175,0.03965595521431077,109.33158445547215,19.39975465243013,0.0037543600002361904
0.62,2.0888094921245246,757.9960517517526,0.15482572350472085,0.03953538085748031,109.4527708495557,19.363327094152933,0.00377508050286216
0.625,2.0932449024941153,757.9903133885198,0.15499280463471224,0.039415085914722724,109.57370277088046,19.326924743768963,0.0037956901470020876
0.63,2.097643675862292,757.984666998348,0.15515949963037617,0.03929507381236101,109.69437583855022,19.290549699392184,0.0038161892609978923
0.635,2.1020062931607946,757.979111418612,0.15532580379347172,0.0391753478609344,109.81478581059352,19.25420400263368,0.003836578175592237
0.64,2.106333228617406,757.9736455003542,0.15549171258420955,0.03905591125799146,109.93492858186622,19.217889639817674,0.0038568572238342966
0.645,2.1106249498379825,757.9682681081167,0.1556572216174826,0.03893676709078438,110.05480018174313,19.181608543175617,0.0038770267409884485
0.65,2.1148819178879132,757.9629781197748,0.15582232665915066,0.038817918338925096,110.17439677177309,19.145362592028725,0.0038970870644441523
0.655,2.119104587372358,757.9577744263723,0.1559870236224462,0.038699367876954306,110.29371464312244,19.109153613951314,0.003917038533628417
0.66,2.123293406515846,757.9526559319598,0.15615130856443998,0.03858111847686791,110.41275021400367,19.07298338592052,0.0039368814899196115
0.665,2.1274488172408184,757.9476215534329,0.1563151776826089,0.03846317281057026,110.53150002698828,19.036853635446747,0.0039566162765635
0.67,2.1315712552443657,757.9426702203765,0.15647862731157158,0.03834553345220751,110.6499607462503,19.000766041666623,0.0039762432385930515
0.675,2.1356611500750304,757.9378008749077,0.15664165391981114,0.0382282028805099,110.7681291549322,18.964722236432205,0.0039957627227480835
0.68,2.1397189252088276,757.9330124715202,0.15680425410647109,0.03811118348108199,110.8860021524327,18.92872380538588,0.004015175077396514
0.685,2.1437449981234136,757.9283039769336,0.1569664245983164,0.037994477548574615,111.00357675172421,18.892772288992163,0.0040344806524594485
0.6900000000000001,2.147739780371946,757.9236743699425,0.15712816224671555,0.03787808728884182,111.12085007670143,18.856869183561145,0.0040536797993368226
0.6950000000000001,2.1517036776558287,757.9191226412679,0.1572894640247184,0.03776201482102927,111.23781935954702,18.82101594224631,0.004072772870835305
0.7000000000000001,2.155637089897767,757.9146477934086,0.15745032702410702,0.03764626217968194,111.35448193810441,18.785213976049018,0.004091760221095566
0.705,2.1595404113115992,757.9102488404992,0.1576107484527181,0.037530831316657735,111.4708352533429,18.74946465474675,0.004110642205526006
0.71,2.163414030472941,757.9059248081658,0.15777072563168834,0.03741572410309583,111.58687684685029,18.71376930783863,0.004129419180734758
0.715,2.1672583303893926,757.9016747333834,0.15793025599273855,0.03730094233135778,111.7026043583262,18.678129225481488,0.004148091504462569
0.72,2.1710736885682507,757.8974976643384,0.15808933707565698,0.03718648771682566,111.81801552321227,18.64254565936445,0.0041666595355205616
0.725,2.174860477084418,757.8933926602901,0.15824796652575907,0.03707236189971744,111.93310817032763,18.607019823588374,0.004185123633727478
0.73,2.178619062647869,757.889358791434,0.1584061420913829,0.036958566446876596,112.04788021951978,18.571552895534676,0.004203484159847801
0.735,2.1823498066694764,757.8853951387678,0.15856386162150898,0.03684510285347281,112.1623296794205,18.53614601669402,0.004221741475532961
0.74,2.1860530653259844,757.8815007939595,0.1587211230634405,0.03673197254465961,112.27645464525638,18.50080029347458,0.0042398959432640776
0.745,2.1897291896261195,757.8776748592139,0.15887792446039548,0.03661917687729464,112.3902532965955,18.465516798038113,0.0042579479262925424
0.75,2.193378525473337,757.8739164471447,0.15903426394935077,0.03650671714148025,112.50372389530021,18.430296569054274,0.004275897788586881
0.755,2.1970014137278295,757.8702246806489,0.1591901397589258,0.036394594562075236,112.61686478354598,18.39514061243846,0.004293745894780746
0.76,2.200598190272462,757.8665986927739,0.15934555020699437,0.036282810300401404,112.72967438156768,18.360049902183164,0.004311492610113913
0.765,2.2041691860686545,757.8630376266037,0.15950049369899633,0.03617136545544938,112.84215118607902,18.325025380950606,0.004329138300391197
0.77,2.2077147272234416,757.8595406351236,0.15965496872546997,0.03606026106564179,112.95429376794621,18.2900679609309,0.004346683331921436
0.775,2.2112351350439643,757.8561068811099,0.15980897386044696,0.03594949810997965,113.0661007706941,18.255178524404418,0.004364128071478604
0.78,2.2147307261011813,757.8527355370014,0.15996250775921572,0.03583907750964027,113.17757090840205,18.220357924521082,0.00438147288624673
0.785,2.2182018122863165,757.849425784785,0.1601155691565751,0.03572900012922468,113.28870296407717,18.185606985910358,0.004398718143777423
0.79,2.2216487008681978,757.8461768158808,0.16026815686501625,0.035619266778056276,113.3994957879639,18.150926505315027,0.004415864211945658
0.795,2.225071694554565,757.8429878310174,0.16042026977265778,0.035509878211655986,113.50994829560193,18.116317252312147,0.004432911458899028
0.8,2.2284710915423043,757.8398580401317,0.16057190684187708,0.03540083513271942,113.62005946658788,18.081779969788734,0.004449860253025301
0.805,2.231847185580736,757.8367866622408,0.16072306710712084,0.035292138192681316,113.72982834250683,18.047315374706724,0.004466710962898411
0.81,2.2352002660193953,757.8337729253462,0.16087374967367798,0.03518378799259135,113.83925402583922,18.012924158527962,0.004483463957249781
0.8150000000000001,2.238530617869441,757.8308160663103,0.16102395371561093,0.0350757850845921,113.94833567801372,17.978606987936786,0.004500119604917486
0.8200000000000001,2.2418385218519705,757.8279153307589,0.16117367847448263,0.03496812997282792,114.05707251826762,17.944364505280692,0.004516678274816419
0.8250000000000001,2.24512425445552,757.8250699729663,0.16132292325752645,0.034860823114752054,114.1654638219421,17.910197329208454,0.004533140335893754
0.8300000000000001,2.2483880879864464,757.822279255754,0.16147168743624166,0.03475386492212963,114.27350891920901,17.876106055157205,0.004549506157095672
0.835,2.2516302906211365,757.8195424503859,0.16161997044487117,0.034647255762124685,114.38120719367862,17.842091255881062,0.004565776107331018
