label,servers,jobs,delay_s,bundle,cli_wall_s,worker_wall_s,artifact_bytes,kind,seed,nominal_load,mean_wait_s,p95_wait_s,max_wait_s,makespan_s,busy_work_s,queue_area_job_s,realized_utilization,all_checks
low-1701-d0,1,800,0.0,attempts/67950dfd986c4ef3b4ee6a1a8b326d33,0.16063671401934698,0.06389387196395546,370587,low,1701,0.5,0.0,0.0,0.0,15988.854784984234,8000.000000000001,0.0,0.5003485307473752,PASS
low-1701-d1,1,800,1.0,attempts/c22afb210faf49aeb6f01fe2d24df9ec,0.15856557100778446,0.06398182600969449,370587,low,1701,0.55,0.0,0.0,0.0,15989.854784984234,8800.000000000002,0.0,0.5503489630352311,PASS
low-2903-d0,1,800,0.0,attempts/d14617f43b27421082ad7ce2c4a0aaa3,0.21304568700725213,0.114129610999953,370635,low,2903,0.5,0.0,0.0,0.0,15991.410388333843,8000.000000000002,0.0,0.5002685695463243,PASS
low-2903-d1,1,800,1.0,attempts/3d4a8c16966243e4846b1d65534051fc,0.16728795995004475,0.06399825599510223,370636,low,2903,0.55,0.0,0.0,0.0,15992.410388333843,8800.000000000005,0.0,0.5502610167144933,PASS
near-1701-d0,1,800,0.0,attempts/133d1bf18c6646488a65765593febf3e,0.1647194009856321,0.06397314002970234,377156,near,1701,0.95,1.6396465729819492,5.726014121447861,10.487374593979894,8419.82919957301,8000.000000000001,1311.7172583855595,0.950138038477752,PASS
near-1701-d1,1,800,1.0,attempts/8442e63074fb4b22aa2df91ae0cef8e6,0.1640997270005755,0.06400835502427071,381342,near,1701,1.045,192.90072086049187,373.15405944912436,379.7168905215822,8800.000000000002,8800.000000000002,154320.57668839343,1.0,PASS
near-2903-d0,1,800,0.0,attempts/243a0b78a8e7477086a49af7db7da5b9,0.1645027970080264,0.06405404000543058,377230,near,2903,0.95,1.4488003128424296,5.408899167588061,11.531334731407696,8421.936704123309,8000.000000000002,1159.0402502739437,0.9499002760354717,PASS
near-2903-d1,1,800,1.0,attempts/b20e5101b09a4191b3cc08b48ea92985,0.6127107419888489,0.21633096999721602,381475,near,2903,1.045,173.99227350475613,349.724154697672,378.6940960870088,8800.000000000005,8800.000000000005,139193.8188038049,1.0,PASS
over-1701-d0,1,800,0.0,attempts/fc0c08bec8b5436dba2d78f3ec7660ff,0.30484969000099227,0.11516232299618423,381437,over,1701,1.1,367.41525729749884,704.382521995889,727.5088513793926,8000.000000000001,8000.000000000001,293932.2058379991,1.0,PASS
over-1701-d1,1,800,1.0,attempts/dda41264b016461887d38ee24997fbbf,0.22039808699628338,0.11413643398554996,381476,over,1701,1.2100000000000002,766.9152572975004,1463.3248704755788,1526.5088513793926,8800.000000000002,8800.000000000002,613532.2058379995,1.0,PASS
over-2903-d0,1,800,0.0,attempts/7da2f13e8ebd47fdaf6360c522656198,0.16428392002126202,0.0639237979776226,381450,over,2903,1.1,348.32990058826,681.1903733464733,724.9532480297921,8000.000000000002,8000.000000000002,278663.9204706079,1.0,PASS
over-2903-d1,1,800,1.0,attempts/4bc819eb0b49469487662234556a363e,0.15974955301498994,0.0639940490364097,381456,over,2903,1.2100000000000002,747.8299005882591,1440.1903733464696,1523.9532480297948,8800.000000000005,8800.000000000005,598263.9204706077,1.0,PASS
multi-1701-d0,4,800,0.0,attempts/3b4f237e160b4ed0b494b74ddf0c41f2,0.16278269595932215,0.06397575401933864,377352,multi,1701,0.95,0.6401323353256025,2.601289465677155,3.976763463509542,2112.4136455095936,8000.000000000001,512.105868260482,0.9467842646497983,PASS
multi-1701-d1,4,800,1.0,attempts/c449b3019dd241b18b2e6b2ad9f19bf9,0.16526442399481311,0.0640023640007712,382159,multi,1701,1.045,47.82265054165789,93.11229382567808,95.67480444805642,2207.5053851624216,8800.000000000002,38258.12043332635,0.9966000603156541,PASS
multi-2903-d0,4,800,0.0,attempts/de611a411480482aa280e5a577c5d748,0.1620953080127947,0.0639774079900235,377155,multi,2903,0.95,0.5384744309385121,2.2837679244079254,4.151016224136583,2114.041967281206,8000.000000000002,430.7795447508097,0.9460550126032404,PASS
multi-2903-d1,4,800,1.0,attempts/d01be96558ea4680bd553137aec80af8,0.16375075798714533,0.06398427102249116,382202,multi,2903,1.045,42.904879235053684,86.62447924887374,95.58186730470015,2209.531796273937,8800.000000000005,34323.90338804294,0.9956860560730515,PASS
burst-1701-d0,4,800,0.0,attempts/c8b7ed5f9c2040a380db661009fde514,0.1648992850095965,0.06402281299233437,347241,burst,1701,0.7,44.99999999999999,90.0,90.00000000000006,2814.2857142857147,8000.0,35999.99999999999,0.7106598984771573,PASS
burst-1701-d1,4,800,1.0,attempts/67cef956d2094f6fad9aa74435e965c3,0.16105105500901118,0.06397415202809498,347288,burst,1701,0.77,49.49999999999999,99.0,99.00000000000006,2824.2857142857147,8800.0,39599.99999999999,0.7789580171977742,PASS
burst-2903-d0,4,800,0.0,attempts/c1f1193eec6544889bc0a840d3301ca8,0.16266077000182122,0.06395874300505966,347241,burst,2903,0.7,44.99999999999999,90.0,90.00000000000006,2814.2857142857147,8000.0,35999.99999999999,0.7106598984771573,PASS
burst-2903-d1,4,800,1.0,attempts/1a4a2e7b64fa4d24beddc130ac8ef6f4,0.17021793097956106,0.06403062597382814,347288,burst,2903,0.77,49.49999999999999,99.0,99.00000000000006,2824.2857142857147,8800.0,39599.99999999999,0.7789580171977742,PASS
hetero-1701-d0,4,800,0.0,attempts/fb66ae121b54408e856a944d80d3e94f,0.19053514301776886,0.06407018000027165,346914,hetero,1701,0.7,4.352500000000001,21.71428571428578,43.0,2855.571428571429,8000.0,3482.000000000001,0.7003852118665265,PASS
