state,unit,threshold,width_R09,width_R10,width_R11,refinement,passes
V_A,litre,1e-06,1.5453727186809374e-10,1.1800072030609954e-10,9.006528856048135e-11,7.068567953183447e-12,True
P_A,mmHg,0.0001,2.9615421226480976e-10,2.5136159820249304e-10,2.105480234604329e-10,1.8189894035458565e-11,True
f_o,dimensionless,1e-07,7.856909567394155e-12,8.21398504768922e-12,8.279932295351955e-12,8.784639682346551e-14,True
f_c,dimensionless,1e-07,5.617877690822226e-12,5.878443565254798e-12,5.9262178497832e-12,6.373720995433985e-14,True
p_o,mmHg,0.0001,1.5127127994674083e-08,1.5198381220216106e-08,1.6247497569565894e-08,6.338041202980094e-11,True
p_c,mmHg,0.0001,6.937078467217361e-09,6.947356467890131e-09,6.952703301976726e-09,1.9447554677753942e-11,True
z,source-labelled dimensionless; unresolved,1e-08,7.469623877764953e-13,7.867890366997088e-13,7.98367448540116e-13,1.4649739754624136e-14,True
