run,rtol,atol,atol_over_rtol_z0,max_absolute_z_error,max_relative_z_error
baseline,1e-08,1e-10,22614.713132363915,1.0686882802313225e-11,4.8676489185445215e-09
atol-0.001,1e-08,0.001,226147131323.63916,8.688166704476363e-08,2.1023351439534763e-05
atol-1e-06,1e-08,1e-06,226147131.32363912,3.5003288201967964e-10,5.8720320777711356e-08
atol-1e-10,1e-08,1e-10,22614.713132363915,1.5088649080174932e-11,4.8676489185445215e-09
atol-1e-13,1e-08,1e-13,22.614713132363914,7.155887861431953e-12,1.7856942328416565e-09
source-default,1e-06,1e-06,2261471.3132363916,3.880195077656662e-08,3.740220278017013e-05
source-tight,1e-11,1e-13,22614.71313236392,5.712609205121844e-13,3.8274039125483495e-10
