id,server,arrival_s,start_s,finish_s,wait_s
job-0019,0,384.1652559551849,384.1652559551849,396.3547738967946,0.0
job-0020,0,401.65464847409197,401.65464847409197,411.3908237667902,0.0
job-0021,0,422.6794082106002,422.6794082106002,432.91601395425096,0.0
job-0022,0,446.0989938227017,446.0989938227017,457.8689168321945,0.0
job-0023,0,467.9625625716303,467.9625625716303,477.90103440798504,0.0
job-0024,0,489.23161431955936,489.23161431955936,502.1746706351241,0.0
job-0025,0,507.6710014651843,507.6710014651843,517.167939260441,0.0
job-0026,0,528.0089632603119,528.0089632603119,539.5865454362789,0.0
job-0027,0,548.5930888146298,548.5930888146298,558.3521534439216,0.0
job-0028,0,568.2897264915364,568.2897264915364,578.3761688705637,0.0
job-0029,0,590.9246113361055,590.9246113361055,602.890827309064,0.0
job-0030,0,609.1683039627056,609.1683039627056,619.0038226858995,0.0
job-0031,0,630.3355074079458,630.3355074079458,643.3013749768547,0.0
job-0032,0,650.2844257752006,650.2844257752006,662.1980498404124,0.0
job-0033,0,667.2208547757995,667.2208547757995,677.4237796252523,0.0
job-0034,0,687.567242173178,687.567242173178,697.3442097993734,0.0
job-0035,0,709.609275331952,709.609275331952,719.8254024647517,0.0
job-0036,0,725.8897591222285,725.8897591222285,735.6050095184119,0.0
job-0037,0,744.0055761862584,744.0055761862584,756.2880674549064,0.0
job-0038,0,762.3192820813923,762.3192820813923,773.339615981304,0.0
job-0039,0,780.0035331821383,780.0035331821383,790.9484227196172,0.0
job-0040,0,796.6250676425302,796.6250676425302,805.6778020515111,0.0
job-0041,0,820.1450319645913,820.1450319645913,831.1082107528559,0.0
job-0042,0,840.3873206570717,840.3873206570717,852.2908861276728,0.0
job-0043,0,859.3720618653998,859.3720618653998,869.8595265051711,0.0
job-0044,0,875.5841983197123,875.5841983197123,885.5983460081122,0.0
job-0045,0,893.7005791276351,893.7005791276351,904.9583971062654,0.0
job-0046,0,917.1732283300702,917.1732283300702,930.0583421414269,0.0
job-0047,0,937.5612535900837,937.5612535900837,948.5137813399459,0.0
job-0048,0,957.9640495267188,957.9640495267188,968.8230063422084,0.0
job-0049,0,977.1081518678833,977.1081518678833,988.8650436125445,0.0
job-0050,0,996.1661870933959,996.1661870933959,1006.0600371465548,0.0
job-0051,0,1012.6149985296141,1012.6149985296141,1025.570779109752,0.0
job-0052,0,1029.6378643144435,1029.6378643144435,1039.422389689711,0.0
job-0053,0,1052.6171836487074,1052.6171836487074,1063.1876655962567,0.0
job-0054,0,1073.3375813514676,1073.3375813514676,1082.6628275004955,0.0
job-0055,0,1094.7748505924649,1094.7748505924649,1106.42236427269,0.0
job-0056,0,1114.1305071638485,1114.1305071638485,1125.960212924165,0.0
job-0057,0,1132.0238403522817,1132.0238403522817,1141.3897415660085,0.0
job-0058,0,1152.0935947680723,1152.0935947680723,1161.803387182848,0.0
job-0059,0,1172.0825220013005,1172.0825220013005,1182.7255500183367,0.0
job-0060,0,1194.8066771299395,1194.8066771299395,1207.7237171847914,0.0
job-0061,0,1217.8302191748785,1217.8302191748785,1230.5481444431325,0.0
job-0062,0,1239.5666662078718,1239.5666662078718,1251.64995354387,0.0
job-0063,0,1258.3567301240098,1258.3567301240098,1270.3330575206892,0.0
job-0064,0,1279.0468405888723,1279.0468405888723,1291.8945319771437,0.0
job-0065,0,1298.8597544430681,1298.8597544430681,1310.2299268054164,0.0
job-0066,0,1316.7287542585984,1316.7287542585984,1329.2455234540246,0.0
job-0067,0,1334.1710845998682,1334.1710845998682,1346.5174801717535,0.0
job-0068,0,1354.6486239459784,1354.6486239459784,1364.3481525147283,0.0
job-0069,0,1374.715117114254,1374.715117114254,1387.6789438983756,0.0
