id,server,arrival_s,start_s,finish_s,wait_s
job-0000,0,0.0,0.0,12.32875072109686,0.0
job-0001,0,7.6993349211918645,12.32875072109686,23.374159999746176,4.629415799904995
job-0002,0,15.89399914897874,23.374159999746176,35.92332333117366,7.480160850767437
job-0003,0,25.73024231666364,35.92332333117366,47.890955869197995,10.193081014510021
job-0004,0,33.86613948358488,47.890955869197995,58.18934044958853,14.024816385613114
job-0005,0,44.67226662157016,58.18934044958853,68.23528690679746,13.517073828018368
job-0006,0,55.14550382290957,68.23528690679746,78.89826339987505,13.089783083887887
job-0007,0,62.61871059625345,78.89826339987505,90.3150943005812,16.2795528036216
job-0008,0,71.0821386305301,90.3150943005812,102.57076763435717,19.232955670051098
job-0009,0,80.33644482039571,102.57076763435717,114.8573434835555,22.234322813961455
job-0010,0,87.9565587042519,114.8573434835555,123.95618055955745,26.900784779303592
job-0011,0,96.71732684749026,123.95618055955745,135.30098285730156,27.238853712067197
job-0012,0,106.35391074148328,135.30098285730156,144.4485766375908,28.947072115818287
job-0013,0,116.82266132423482,144.4485766375908,156.06836135706547,27.62591531335599
job-0014,0,127.44613587509376,156.06836135706547,168.71179494360604,28.62222548197171
job-0015,0,135.25371574513244,168.71179494360604,179.79647543741416,33.4580791984736
job-0016,0,144.63945807966763,179.79647543741416,192.1268633081465,35.157017357746525
job-0017,0,152.5362494739813,192.1268633081465,203.15327701455453,39.590613834165225
job-0018,0,161.22047219875517,203.15327701455453,213.4379134008968,41.93280481579936
job-0019,0,169.9295544928394,213.4379134008968,225.69633198466772,43.5083589080574
job-0020,0,179.65245791069802,225.69633198466772,237.192915525361,46.043874073969704
job-0021,0,189.14154716896627,237.192915525361,246.73003863377605,48.05136835639473
job-0022,0,198.11699901653247,246.73003863377605,258.8749259222649,48.61303961724357
job-0023,0,208.50255858290265,258.8749259222649,269.7250822754676,50.37236733936223
job-0024,0,216.92816163239877,269.7250822754676,279.50427281569085,52.79692064306886
job-0025,0,224.970070463565,279.50427281569085,291.71538881799404,54.534202352125845
job-0026,0,234.79695782205854,291.71538881799404,302.07835516108094,56.918430995935495
job-0027,0,242.1139305600666,302.07835516108094,312.30583507531253,59.96442460101434
job-0028,0,249.95720193929276,312.30583507531253,321.6768754641888,62.34863313601977
job-0029,0,260.01320835903283,321.6768754641888,333.89622003157405,61.66366710515598
job-0030,0,268.4092405054166,333.89622003157405,344.98029689789934,65.48697952615743
job-0031,0,278.73675799444425,344.98029689789934,356.78689458851153,66.24353890345509
job-0032,0,288.46082635604307,356.78689458851153,366.41812290610386,68.32606823246846
job-0033,0,296.7423212568491,366.41812290610386,377.50276516871196,69.67580164925477
job-0034,0,304.4522600700668,377.50276516871196,389.6930960363935,73.05050509864515
job-0035,0,314.46507580077025,389.6930960363935,400.34032240182927,75.22802023562326
job-0036,0,323.57317447470444,400.34032240182927,409.63206396149184,76.76714792712482
job-0037,0,333.1046419069386,409.63206396149184,418.8191630158462,76.52742205455326
job-0038,0,341.2593563530937,418.8191630158462,429.6186223605349,77.55980666275246
job-0039,0,349.0613034169695,429.6186223605349,440.4760810897003,80.5573189435654
job-0040,0,358.28601023946595,440.4760810897003,451.1840900884785,82.19007085023435
